# 2  # Number of bands below the Fermi level
# 0  # Spin-orbit coupling. No: 0, Yes: 1
# 16 
# 1  0  0    0  1  0    0  0  1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
#-1  0  0    0 -1  0    0  0  1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0 -1  0    1  0  0    0  0  1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0  1  0   -1  0  0    0  0  1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
#-1  0  0    0  1  0    0  0 -1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
# 1  0  0    0 -1  0    0  0 -1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0  1  0    1  0  0    0  0 -1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0 -1  0   -1  0  0    0  0 -1       0.000000   0.000000   0.500000        0.000000    0.000000      0.707107   -0.707107     -0.707107   -0.707107     -0.000000    0.000000
#-1  0  0    0 -1  0    0  0 -1       0.000000   0.000000   0.000000        1.000000    0.000000      0.000000    0.000000      0.000000    0.000000      1.000000    0.000000
# 1  0  0    0  1  0    0  0 -1       0.500000   0.500000   0.000000        0.000000   -1.000000      0.000000    0.000000      0.000000    0.000000      0.000000    1.000000
# 0  1  0   -1  0  0    0  0 -1       0.500000   0.000000   0.000000        0.707107   -0.707107      0.000000    0.000000      0.000000    0.000000      0.707107    0.707107
# 0 -1  0    1  0  0    0  0 -1       0.000000   0.500000   0.000000        0.707107    0.707107      0.000000    0.000000      0.000000    0.000000      0.707107   -0.707107
# 1  0  0    0 -1  0    0  0  1       0.000000   0.500000   0.500000        0.000000    0.000000     -1.000000    0.000000      1.000000    0.000000      0.000000    0.000000
#-1  0  0    0  1  0    0  0  1       0.500000   0.000000   0.500000        0.000000    0.000000      0.000000   -1.000000      0.000000   -1.000000      0.000000    0.000000
# 0 -1  0   -1  0  0    0  0  1       0.500000   0.500000   0.500000        0.000000    0.000000     -0.707107   -0.707107      0.707107   -0.707107     -0.000000    0.000000
# 0  1  0    1  0  0    0  0  1       0.000000   0.000000   0.500000        0.000000    0.000000     -0.707107    0.707107      0.707107    0.707107     -0.000000    0.000000
#

  0.000000       0.000000    0.000000    0.000000          1         1     9.9825   1.000000   0.000000       1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000       1.000000   0.000000       1.000000  -0.000000       1.000000   0.000000       1.000000   0.000000      -1.000000   0.000000      -1.000000  -0.000000      -1.000000   0.000000      -1.000000   0.000000       1.000000  -0.000000       1.000000  -0.000000
  0.185345       0.000000    0.250000    0.000000          2         1    10.5890   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.707107  -0.707107            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.707107   0.707107            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.197701       0.000000    0.266667    0.000000          1         1    10.1397   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.669131   0.743145            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.669131  -0.743145            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.197701       0.000000    0.266667    0.000000          2         1    10.5829   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.669131  -0.743145            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.669131   0.743145            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.210057       0.000000    0.283333    0.000000          1         1    10.1560   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.629320   0.777146            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.629320  -0.777146            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.210057       0.000000    0.283333    0.000000          2         1    10.5713   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.629320  -0.777146            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.629320   0.777146            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.222414       0.000000    0.300000    0.000000          1         1    10.1740   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.587785   0.809017            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.587785  -0.809017            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.222414       0.000000    0.300000    0.000000          2         1    10.5615   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.587785  -0.809017            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.587785   0.809017            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.234770       0.000000    0.316667    0.000000          1         1    10.1915   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.544639   0.838671            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.544639  -0.838671            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.234770       0.000000    0.316667    0.000000          2         1    10.5478   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.544639  -0.838671            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.544639   0.838671            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.247126       0.000000    0.333333    0.000000          1         1    10.2090   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.500000   0.866025            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.500000  -0.866025            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.247126       0.000000    0.333333    0.000000          2         1    10.5399   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.500000  -0.866025            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.500000   0.866025            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.259483       0.000000    0.350000    0.000000          1         1    10.2274   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.453990   0.891007            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.453990  -0.891007            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.259483       0.000000    0.350000    0.000000          2         1    10.5287   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.453990  -0.891007            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.453990   0.891007            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000   0.000000            XXX        XXX            XXX        XXX
  0.271839       0.000000    0.366667    0.000000          1         1    10.2451   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.406737   0.913545            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.406737  -0.913545            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.271839       0.000000    0.366667    0.000000          2         1    10.5179   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX       0.406737  -0.913545            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX      -0.406737   0.913545            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
  0.284195       0.000000    0.383333    0.000000          1         1    10.2627   1.000000   0.000000            XXX        XXX            XXX        XXX            XXX        XXX      -0.358368   0.933580            XXX        XXX            XXX        XXX            XXX        XXX            XXX        XXX       0.358368  -0.933580            XXX        XXX            XXX        XXX            XXX        XXX      -1.000000  -0.000000            XXX        XXX            XXX        XXX
